song_id,title,lyricist,composer,arranger,release_year,release_title,release_type,members,center,formation_rows,opening_lyrics,full_lyrics,song_url
14,青春のラップタイム,秋元康,川浦正大,野中“まさ”雄一,2013,てっぺんとったんで！,other,,,,"君との約束を
忘れたわけじゃなく","君との約束を
忘れたわけじゃなく
バスケの練習で
遅れてしまったんだ

「彼女を待たせてるから」なんて
言い出せやしないだろう?
学校を出て
駅までの道
AH-　全力疾走
(GO!GO! GO!GO!GO!)

青春のラップタイム
競うみたいに
息を切らし
汗びっしょりになって
1秒でも巻き返そう
たったひとつの理由は
好きだから

携帯かけるより
渋滞のバスより
君が待つ場所まで
走る方がいいさ

夕陽が落ちる直前の空は
ため息の風が吹き
予定のずれた
今日の事情を
AH-　忘れてくれる
(GO!GO! GO!GO!GO!)

青春のラップタイム
自己ベストだよ
陸上部から
スカウトされるかもね
愛が僕を走らせるんだ
こんなに急いでいるのは
好きだから

青春のラップタイム
競うみたいに
息を切らし
汗びっしょりになって
1秒でも巻き返そう
青春のラップタイム
自己ベストだよ
脇目ふらず
君が待つあの場所まで
一生懸命に
走ることさ
たったひとつの理由は
好きだから",https://www.uta-net.com/song/116355/
15,僕は待ってる,秋元康,酒井康男,野中“まさ”雄一,2013,てっぺんとったんで！,other,,,,"誰かが道に迷った時は
どこへだって探しに行く","誰かが道に迷った時は
どこへだって探しに行く
誰かが足を痛めたら
僕は肩を貸すだろう

どんな困難が待ってても
弱音なんか言ったりするな
だって　いつかは夢の場所まで
行こうと誓った仲間じゃないか

生きることは
傷つくことだ
過ちばかりを繰り返すもの
まわりの人に迷惑をかけて
「置いて行って」と泣く君を
僕は見捨てない

君の荷物が重いのならば
その半分を持ってあげる
だから　もう一度歩き出そう
脱落者は出したくないんだ
負けるな

思い出せよ
自分の夢を…
こんなところであきらめるのか?
寄り道しても少し休んでも
君がまた歩き出す日まで
僕は待ってる

生きることは
傷つくことだ
過ちばかりを繰り返すもの
まわりの人に迷惑をかけて
「置いて行って」と泣く君を
僕は見捨てない",https://www.uta-net.com/song/120667/
1,イビサガール,秋元康,フジノタカフミ,生田真心,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"Go! Go! Ibiza Ibiza girl!
Go! Go! Ibiza Ibiza girl!","Go! Go! Ibiza Ibiza girl!
Go! Go! Ibiza Ibiza girl!
Go! Go! Go ! Go!

青い海と太陽と
君がそこにいるだけで
まるで地中海の写真
風を感じる

ちょっと　気の早い
クラブのミュージック
踊るsandy beach
ハートも灼けて来る

真夏日は (Go! Go! Ibiza!)
恋をしよう(Ibiza girl!)
こんなに暑いと
他にやることもないだろう？
思い切り(Go! Go! Ibiza!)
キスをしよう(Ibiza girl!)
時間なんて
波の数ほど
ここにはあるよ

Go! Go! Ibiza Ibiza girl!
Go! Go! Ibiza Ibiza girl!
Go! Go! Go! Go!

沈む夕陽と潮風
君が振り返るだけで
僕のスペインが見える
あの日のように…

ちょっとセクシーな
ドレスに着替えて
夜はこれから
明け方がクライマックス

真夏日は(Go! Go! Ibiza!)
恋をしよう(Ibiza girl!)
気温以上に
燃えなきゃしょうがないだろう
ロマンティックな(Go! Go! Ibiza!)
汗をかこう(Ibiza girl!)
そうさ　今を
楽しむことが
生きる意味さ

I・B・I・Z・A　IBIZA　Go! Go!
I・B・I・Z・A　IBIZA　Go! Go!
I・B・I・Z・A　IBIZA　Go! Go!
I・B・I・Z・A　IBIZA　Go! Go!

真夏日は(Go! Go! Ibiza!)
恋をしよう(Ibiza girl!)
こんなに暑いと
他にやることもないだろう？
思い切り(Go! Go! Ibiza!)
キスをしよう(Ibiza girl!)
時間なんて
波の数ほど
ここにはあるよ

Go! Go! Ibiza Ibiza girl!
Go! Go! Ibiza Ibiza girl!
Go! Go! Go! Go!",https://www.uta-net.com/song/167512/
2,僕らのユリイカ,秋元康,高田暁,生田真心,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"いつもの“青”より
もっと深い“青”だ","いつもの“青”より
もっと深い“青”だ
湾の内側の海は色を変え生きる
なぜ　恋人たちはここまで来るのだろう？
愛を囁くには波音が必要？

原付バイクを飛ばして
家まで帰る道筋
わざと山側を選んで来た
そういう目で君を見ない

僕らのユリイカ
発見したんだ
ずっと近くにいたのに
初めての感情
夏の太陽に目を細めた時
君のことをキレイだと思った

多くの事実は
底に隠れている
ただの友達の境　潮の流れ次第
なぜ　大人になると正直になれないの?
愛の告白には砂浜が最適？

2台のバイクが並んで
国道からの脇道
海に行こうって言い出したのは
どっちが先だってよかった

僕らのユリイカ
思わず叫んだ
まさか同(おんな)じ気持ちを
持ち始めたこと
「わかった　これだ！」とピンと来たその時
ギリシャの言葉　思い出したんだ

僕らのユリイカ
発見したんだ
ずっと近くにいたのに
初めての感情
夏の太陽に目を細めた時
君のことをキレイだと思った",https://www.uta-net.com/song/147813/
3,カモネギックス,秋元康,井上ヨシマサ,井上ヨシマサ,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"カモネギックス！…
あっと言う間の出来事","カモネギックス！…

あっと言う間の出来事
出会い頭の一瞬で
胸の奥の大事なもの
持って行かれた　持って行かれた
失恋したばかりだったし
恋なんかもうごめんだって
思ってたのに　あきれちゃうわ

油断した私が
ハートときめかせたせいね
その目に見つめられ
ポーっとしてしまった

カモネギックス！　You're so cool！
ロマンティックタイミング　狙われて
カモがねぎ背負(しょ)って
ウェルカム　ウェルカム　ウェルカム　TO LOVE
カモネギックス！　You're so cool！
経験上　危険でも
女は懲りないもの
ウェルカム　ウェルカム　ウェルカム　TO LOVE

ちょっとつきあっただけで
さっと嵐は過ぎ去って
思い出までごっそりと
ヤラレチャッタ　ヤラレチャッタ
恋は何回しても
学習しないわ
バツばっかり　バツばっかり

でもなぜか　今でも
あなた　憎く思えないの
短い間でも
しあわせだったし…

ナキワラックス！　Please come back！
泣きながら　微笑んで
忘れな草よ
Forget Forget Forget-me-not
ナキワラックス！　Please come back！
友達に　叱られても
忘れて　忘れないで
Forget Forget Forget-me-not

カモネギックス！…

カモネギックス！　You're so cool！
ロマンティックタイミング　狙われて
カモがねぎ背負(しょ)って
ウェルカム　ウェルカム　ウェルカム　TO LOVE
カモネギックス！　You're so cool！
経験上　危険でも
女は懲りないもの
ウェルカム　ウェルカム　ウェルカム　TO LOVE

あっと言う間の出来事",https://www.uta-net.com/song/153010/
4,高嶺の林檎,秋元康,田中俊亮,,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"手の届く
枝になった林檎は","手の届く
枝になった林檎は
君じゃない
誰かも手を伸ばす
みんなが
あきらめてるような
高い木の上
探さないのか？

なぜ君は
絶対失敗しない
手頃な
夢だけを選ぶのか？
結果を
出せないこととは
チャレンジするより
だめなことか？
そんな近くに
夢はないんだ

僕は無理をする
妥協はしない
冷ややかな目で
見られたって…
僕は無理をする
すべてを懸けて
平均点はいらない
高嶺の林檎よ

落ちて来る
幸運を待っても
その時間
もったいないだろう
自分から
木に登ったりして
リスク持たなきゃ
手に入らない

勝ち負けは
どうでもいいなんて
自分に
弁解をするなよ
何かを競い合うことは
そう努力する
モチベーション
汗の分だけ
美味しいんだ

どうせやるのなら
1位を狙え
誰も羨(うらや)む
最高峰
どうせやるのなら
ランク落とすな
たった1つの目標
高嶺の林檎よ

僕は無理をする
妥協はしない
冷ややかな目で
見られたって…
僕は無理をする
すべてを懸けて
平均点はいらない
高嶺の林檎よ",https://www.uta-net.com/song/161655/
5,“生徒手帳の写真は気に入っていない”の法則,秋元康,石井健太郎,石井健太郎,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"リュックサックの中
入れていたはずの","リュックサックの中
入れていたはずの
生徒手帳がなくなっていた
通学路　逆に
戻ってみたけど
道の途中に見つからなかった

携帯電話に見たことない番号
「駅で拾ったんだ」って
男の子の声ドキドキした

生徒手帳　その写真
気に入っていない法則
運命的　出会いだったら
どうすればいいの？
だからちゃんと目をパッチリと
メイクして加工して
プリクラみたい裏技とかで
盛ればよかった
なんて後悔しちゃう
だって　そんな私だもん
可愛くない　最悪だわ
今すぐdelete

「どこでもいいから
預けてください」
そう　彼にお願いをしたのに…
「直接渡したい」
押し切られちゃって
駅の改札　待ち合わせした

少女漫画の
主人公みたいな
めちゃカッコいい男の子が
私を見て　すぐに手を振ったの

生徒手帳　その写真
気に入っていない法則
運命的　出会いだったら
どうすればいいの？
だからちゃんと目をパッチリと
メイクして加工して
プリクラみたい裏技とかで
盛ればよかった
なんて後悔しちゃう
だって　そんな私だもん
可愛くない　最悪だわ
今すぐdelete

「この写真よりも
生で会った方が
100万倍可愛いんで
マジ驚いた」って言ってくれた

生徒手帳　その写真
そのままがいい法則
ノーメイクでハードル下げ
期待させずに…
ほら　そうすれば　あら不思議
本人が輝くよ
「ねえ意外に可愛いね」って
言ってもらえる
そうだ　証明写真
ありのままの自分でいい
そこから先　会った時に
キレイになろう",https://www.uta-net.com/song/167511/
10,抱きしめたいけど,秋元康,in the Tz,野中“まさ”雄一,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"AH-　この掌を
水平線と平行にして眺めてた","AH-　この掌を
水平線と平行にして眺めてた
AH-　夏の陽射しが
トビウオのように青い海を跳ねてる

次のバスが来るまで
僕たちはまだ恋人だ
もう少しだけこのままで…
思い出にするには早い

抱きしめたいけど
寂しさに慣れよう
君がいない未来
すぐに始まる
まだ消えぬ愛は
この砂浜に置いて行く
こんなに誰かを
もう二度と愛せないだろう

AH-　どんな言葉で
今の気持ちを伝えればいいかわからなくて
AH-　星がいくつか
空に見えたら君の瞳も輝く

最終のバスだよ
僕たちもサヨナラの時
甘い季節も過ぎて行く
見送る海が騒ぐ波

抱きしめたいけど
キスをしてしまいそう
僕がいない未来
邪魔はできない
出逢えたことまで
後悔をしてしまう前に
一番素敵な
恋だったといつか言えるように…

陽は沈んで
闇が幕を引きながら
真っ新(まっさら)な明日の
準備をするんだ

抱きしめたいけど
寂しさに慣れよう
君がいない未来
すぐに始まる
まだ消えぬ愛は
この砂浜に置いて行く
こんなに誰かを
もう二度と愛せないだろう",https://www.uta-net.com/song/168353/
11,一週間、全部が月曜日ならいいのに…,秋元康,高見沢俊彦,生田真心,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"Love is…僕を引き寄せる
Love is…不思議な力さ","Love is…僕を引き寄せる
Love is…不思議な力さ
Love is…理屈じゃないんだ
本能

何かのついでのように
僕に微笑んでくれただけで
虜(とりこ)になってしまう
媚薬を盛られたのか

そう　この教室で
ただ　ぼーっと
僕は夢を見る
WOO

Monday
待ち望んでる
Monday
週の始まり
Monday
君に会うのが
生き甲斐だ
Monday
一週間の
Monday
カレンダーが
全部　月曜ならいいのに…

It's love.　君に会ってから
It's love.　ふわふわしていて
It's love.　何か変なんだ
はしかだ

真面目にノート取ってる
君を眺めてるこのしあわせ
ハートが充たされるなら
このゼミ落としてもいい

そう時間来たら
別々に
2人　帰るだけ
WOO

Everyday
今日が来るまで
Everyday
指折り数え
Everyday
楽しみにして
生きて来た
Everyday
あと6日間
Everyday
何をして
今日を待ってればいいの？

Monday
夢にまで見た
Monday
この光景を
Monday
僕は瞳に
灼きつける

Everyday
今日が来るまで
Everyday
指折り数え
Everyday
楽しみにして
生きて来た
Everyday
あと6日間
Everyday
何をして
今日を待ってればいいの？

Love is…僕を引き寄せる
Love is…不思議な力さ
Love is…理屈じゃないんだ
本能",https://www.uta-net.com/song/161654/
13,時間は語り始める,秋元康,フジノタカフミ,,2014,世界の中心は大阪や ～なんば自治区～,other,,,,"人は何を目指して
深い森に入って","人は何を目指して
深い森に入って
枝を払い行くのか？
この道
忘れられた木陰で
そっと開く野花は
誰のために咲くのか？
ただ美しく…

若き僕は　一人
思い悩む

時間(とき)は流れて
本当のこと　語り始める
目の前のいくつかの問題なんて
意味はない

時間(とき)は流れて
ぽつりぽつり　語り始める
今ここで
焦らなくたっていいんだ
ゆっくり行こう

青い空に浮かんだ
雲は風に流れて
いつ雨を降らすのか？
気になる
この場所から見えない
梢の上　小鳥は
誰に向かい鳴くのか？
世界の涯(はて)

眩しすぎる未来
手を翳(かざ)した

大人になって
命の意味　わかり始める
人生はいつだって逃げられない
一本道
大人になって
ひとつひとつ　わかり始める
迷ったり
遠回りしてもいいんだ
深呼吸しよう

時間(とき)は流れて
本当のこと　語り始める
目の前のいくつかの問題なんて
意味はない

時間(とき)は流れて
ぽつりぽつり　語り始める
今ここで
焦らなくたっていいんだ
ゆっくり行こう

時間(とき)は語り始める",https://www.uta-net.com/song/153005/
